,Name,Longitudinal Bar Material,Tie Bar Material,Top Cover,Bottom Cover,Top I-End Area,Top J-End Area,Bottom I-End Area,Bottom J-End Area
0,B2540,Fy420,Fy420,0.06,0.06,0,0,0,0
1,B3050,Fy420,Fy420,0.06,0.06,0,0,0,0
2,B3060,Fy420,Fy420,0.06,0.06,0,0,0,0
3,CL3050,Fy420,Fy420,0.06,0.06,0,0,0,0
4,CL4550,Fy420,Fy420,0.06,0.06,0,0,0,0
5,G3060,Fy420,Fy420,0.06,0.06,0,0,0,0
6,G4065,Fy420,Fy420,0.06,0.06,0,0,0,0
7,G4560,Fy420,Fy420,0.06,0.06,0,0,0,0
8,G4565,Fy420,Fy420,0.06,0.06,0,0,0,0
9,G5065,Fy420,Fy420,0.06,0.06,0,0,0,0
10,G6065,Fy420,Fy420,0.06,0.06,0,0,0,0
11,G6070,Fy420,Fy420,0.06,0.06,0,0,0,0
12,G6075,Fy420,Fy420,0.06,0.06,0,0,0,0
