,Name,Longitudinal Bar Material,Tie Bar Material,Top Cover,Bottom Cover,Top I-End Area,Top J-End Area,Bottom I-End Area,Bottom J-End Area
0,B3050,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
1,B3060,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
2,B3070,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
3,B4070,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
4,B5570,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
5,G3050,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
6,G3060,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
7,G4070,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
8,G4080,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
9,G6085,Rebar,Rebar,0.06,0.06,0.0,0.0,0.0,0.0
10,G6085-1,Rebar,Rebar,0.06,0.06,0.005701990666265474,0.005701990666265474,0.0030410616886749195,0.0030410616886749195
11,G4080-1,Rebar,Rebar,0.06,0.06,0.005321857955181109,0.005321857955181109,0.0026609289775905544,0.0026609289775905544
12,G4080-2,Rebar,Rebar,0.06,0.06,0.004561592533012379,0.004561592533012379,0.0022807962665061894,0.0022807962665061894
13,G4080-3,Rebar,Rebar,0.06,0.06,0.004181459821928014,0.004181459821928014,0.0022807962665061894,0.0022807962665061894
14,B3060-1,Rebar,Rebar,0.06,0.06,0.0028352873698647882,0.0028352873698647882,0.0014176436849323941,0.0014176436849323941
15,G4070-1,Rebar,Rebar,0.06,0.06,0.003801327110843649,0.003801327110843649,0.0019006635554218246,0.0019006635554218246
16,B4070-1,Rebar,Rebar,0.06,0.06,0.0028352873698647882,0.0028352873698647882,0.0014176436849323941,0.0014176436849323941
17,B3060-2,Rebar,Rebar,0.06,0.06,0.0028352873698647882,0.0028352873698647882,0.0014176436849323941,0.0014176436849323941
18,G4080-4,Rebar,Rebar,0.06,0.06,0.0030410616886749195,0.0030410616886749195,0.0015205308443374597,0.0015205308443374597
19,G4070-2,Rebar,Rebar,0.06,0.06,0.0030410616886749195,0.0030410616886749195,0.0015205308443374597,0.0015205308443374597
20,B3070-1,Rebar,Rebar,0.06,0.06,0.0022682298958918304,0.0022682298958918304,0.0011341149479459152,0.0011341149479459152
21,G4070-3,Rebar,Rebar,0.06,0.06,0.0026609289775905544,0.0026609289775905544,0.0015205308443374597,0.0015205308443374597
22,B4070-2,Rebar,Rebar,0.06,0.06,0.0019847011589053517,0.0019847011589053517,0.0011341149479459152,0.0011341149479459152
23,B3060-3,Rebar,Rebar,0.06,0.06,0.0019847011589053517,0.0019847011589053517,0.0011341149479459152,0.0011341149479459152
24,G3050-1,Rebar,Rebar,0.06,0.06,0.0019847011589053517,0.0019847011589053517,0.0011341149479459152,0.0011341149479459152
25,B3050-1,Rebar,Rebar,0.06,0.06,0.0019847011589053517,0.0019847011589053517,0.0011341149479459152,0.0011341149479459152
26,G4070-4,Rebar,Rebar,0.06,0.06,0.0022807962665061894,0.0022807962665061894,0.0015205308443374597,0.0015205308443374597
27,G3050-2,Rebar,Rebar,0.06,0.06,0.001701172421918873,0.001701172421918873,0.0008505862109594365,0.0008505862109594365
28,G3050-3,Rebar,Rebar,0.06,0.06,0.0014176436849323941,0.0014176436849323941,0.0014176436849323941,0.0014176436849323941
29,B3050-2,Rebar,Rebar,0.06,0.06,0.0014176436849323941,0.0014176436849323941,0.0011341149479459152,0.0011341149479459152
30,G4070-5,Rebar,Rebar,0.06,0.06,0.0019006635554218246,0.0019006635554218246,0.0011403981332530947,0.0011403981332530947
31,G4080-5,Rebar,Rebar,0.06,0.06,0.0019006635554218246,0.0019006635554218246,0.0011403981332530947,0.0011403981332530947
32,B3070-2,Rebar,Rebar,0.06,0.06,0.0011341149479459152,0.0011341149479459152,0.0008505862109594365,0.0008505862109594365
33,B3060-4,Rebar,Rebar,0.06,0.06,0.0008505862109594365,0.0008505862109594365,0.0014176436849323941,0.0014176436849323941
34,G3050-4,Rebar,Rebar,0.06,0.06,0.0008505862109594365,0.0008505862109594365,0.0005670574739729576,0.0005670574739729576
35,B3050-3,Rebar,Rebar,0.06,0.06,0.0008505862109594365,0.0008505862109594365,0.0005670574739729576,0.0005670574739729576
36,B3060-5,Rebar,Rebar,0.06,0.06,0.0008505862109594365,0.0008505862109594365,0.0005670574739729576,0.0005670574739729576
