,Name,Material,From File?,File Name,Section in File,Depth,Width,Rigid Zone?,Notional Size Type,Notional Auto Factor,Notional User Size,Area Modifier,As2 Modifier,As3 Modifier,J Modifier,I22 Modifier,I33 Modifier,Mass Modifier,Weight Modifier,Color,GUID,Notes
0,B3050,Concrete,No,,,0.5,0.3,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Magenta,f960dd35-1921-4f71-858d-f051f3c31da8,
1,B3060,Concrete,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Yellow,fb9270c5-3af4-4efd-8379-46cc31bc3d30,
2,B3070,Concrete,No,,,0.7,0.3,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Magenta,c304a3e7-3cc2-41c2-a362-ab41f6894da7,
3,B4070,Concrete,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Gray8Dark,0315519c-a544-4a14-b940-21e4a707178f,
4,B5570,Concrete,No,,,0.7,0.55,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Cyan,fc675d3f-7a98-40e9-aa8a-b9972922242a,
5,Dummy,Concrete,No,,,0.5,0.3,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Gray8Dark,a59d5db3-26c9-4696-82c2-00c0c54ca54a,
6,G3050,Concrete,No,,,0.5,0.3,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Cyan,85a64630-901f-413c-b640-c9ef191d6c9a,
7,G3060,Concrete,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Green,ee226f7f-6c23-41e8-aba2-82630a228ca9,
8,G4070,Concrete,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Red,99b736c7-3b3d-45c5-84af-fa1670650b52,
9,G4080,Concrete,No,,,0.8,0.4,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Red,882fb8b1-57ba-4d8f-94d0-65024622c47d,
10,G6085,Concrete,No,,,0.85,0.6,No,Auto,1,,1,1,1,0.2,0.7,0.7,1,1,Yellow,4f0fa68e-62da-4380-b46f-e336e249a7f2,
11,K3040,Kolom,No,,,0.3,0.4,No,Auto,1,,1,1,1,0.3,0.7,0.7,1,1,Green,7614530d-7e84-40fc-8dd6-3b9dfa92645a,
12,K6060,Kolom,No,,,0.7,0.7,No,Auto,1,,1,1,1,0.3,0.7,0.7,1,1,Green,811170ba-1aab-406b-8fad-34bc12f67026,
13,K60x100,Kolom,No,,,1.0,0.6,No,Auto,1,,1,1,1,0.3,0.7,0.7,1,1,Gray8Dark,84a3734c-65a9-4075-b371-c46ab6b60917,
14,K8080,Kolom,No,,,0.8,0.8,No,Auto,1,,1,1,1,0.3,0.7,0.7,1,1,Gray8Dark,1ca474b0-46f4-4245-8c1e-a9af3f013d42,
